公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收,年月,上市別
1101,台泥,-,-21.37,10933035,14.58,7502141,8596261,14.58,7502141,8596261,110/01,TSE
1102,亞泥,-,-10.63,8320877,42.72,5210319,7436331,42.72,5210319,7436331,110/01,TSE
1103,嘉泥,-,-2.73,200989,18.45,165029,195482,18.45,165029,195482,110/01,TSE
1104,環泥,-,-7.86,555150,42.08,359966,511466,42.08,359966,511466,110/01,TSE
1108,幸福,-,7.53,388124,40.81,296395,417355,40.81,296395,417355,110/01,TSE
1109,信大,去年營收因逢農曆春節假期致工作天數短少及大陸新冠肺炎疫情影響而下降,-13.3,852626,55.06,476715,739226,55.06,476715,739226,110/01,TSE
1110,東泥,-,-14.17,160628,9.19,126262,137866,9.19,126262,137866,110/01,TSE
1201,味全,-,-0.78,1472723,1.31,1442127,1461118,1.31,1442127,1461118,110/01,TSE
1203,味王,-,5.0,519264,5.52,516699,545268,5.52,516699,545268,110/01,TSE
1210,大成,-,3.24,8214226,37.32,6175533,8480630,37.32,6175533,8480630,110/01,TSE
1213,大飲,-,4.19,31241,2.18,31854,32550,2.18,31854,32550,110/01,TSE
1215,卜蜂,-,-0.99,2057868,20.82,1686306,2037460,20.82,1686306,2037460,110/01,TSE
1216,統一,-,32.3,34159430,8.82,41529085,45194815,8.82,41529085,45194815,110/01,TSE
1217,愛之味,-,46.69,280185,1.38,405408,411016,1.38,405408,411016,110/01,TSE
1218,泰山,-,21.77,694505,14.76,736974,845756,14.76,736974,845756,110/01,TSE
1219,福壽,-,11.86,1185413,30.39,1016959,1326083,30.39,1016959,1326083,110/01,TSE
1220,台榮,-,1.45,258665,30.22,201511,262424,30.22,201511,262424,110/01,TSE
1225,福懋油,-,6.96,1006866,26.69,850077,1076979,26.69,850077,1076979,110/01,TSE
1227,佳格,本月營收增加主係來自於大陸子公司之營收貢獻,18.42,3872526,56.43,2931475,4585987,56.43,2931475,4585987,110/01,TSE
1229,聯華,-,-19.57,946645,26.38,602410,761338,26.38,602410,761338,110/01,TSE
1231,聯華食,-,3.06,921214,7.51,883070,949444,7.51,883070,949444,110/01,TSE
1232,大統益,-,-10.03,1845049,12.16,1479927,1659919,12.16,1479927,1659919,110/01,TSE
1233,天仁,-,-0.44,171334,-23.81,223889,170575,-23.81,223889,170575,110/01,TSE
1234,黑松,-,-1.25,845690,0.44,831335,835074,0.44,831335,835074,110/01,TSE
1235,興泰,-,-78.69,8603,35.77,1350,1833,35.77,1350,1833,110/01,TSE
1236,宏亞,本年度業績大幅成長主因：節慶挪移影響，使得今年度大量出貨落點在1月份，去年度則落在108年12月份。,42.54,231166,58.05,208484,329513,58.05,208484,329513,110/01,TSE
1702,南僑,-,-6.33,1865641,17.1,1492225,1747421,17.1,1492225,1747421,110/01,TSE
1737,臺鹽,-,-26.23,380378,21.75,230456,280603,21.75,230456,280603,110/01,TSE
1301,台塑,-,-2.5,19710124,38.66,13858050,19215607,38.66,13858050,19215607,110/01,TSE
1303,南亞,-,3.59,28327943,31.51,22313695,29346765,31.51,22313695,29346765,110/01,TSE
1304,台聚,-,-8.64,5820253,49.44,3557870,5316928,49.44,3557870,5316928,110/01,TSE
1305,華夏,109年1月逢春節假期營收較低 ; 今年因部分PVC大廠受疫情、歲修或事故而減產，後疫情需求恢復，庫存偏低致價格大漲。,-4.59,1680981,53.9,1042016,1603671,53.9,1042016,1603671,110/01,TSE
1307,三芳,-,36.89,693860,26.83,748887,949887,26.83,748887,949887,110/01,TSE
1308,亞聚,銷售數量因年節差異，並同產品平均售價皆較去年同期提高所致。,-4.27,682421,70.23,383724,653244,70.23,383724,653244,110/01,TSE
1309,台達化,-,-18.58,1789006,40.87,1033894,1456463,40.87,1033894,1456463,110/01,TSE
1310,台苯,-,-16.17,870907,-4.99,768429,730042,-4.99,768429,730042,110/01,TSE
1312,國喬,-,-5.9,1848773,18.18,1471941,1739674,18.18,1471941,1739674,110/01,TSE
1313,聯成,營收較去年同期增加77.35%，主要係去年1月逢農曆春節連假。,-1.58,6091072,77.35,3379946,5994488,77.35,3379946,5994488,110/01,TSE
1314,中石化,-,35.15,1880643,23.18,2063432,2541752,23.18,2063432,2541752,110/01,TSE
1315,達新,-,-13.08,213256,12.05,165414,185347,12.05,165414,185347,110/01,TSE
1321,大洋,-,-3.17,479536,30.08,356932,464301,30.08,356932,464301,110/01,TSE
1323,永裕,-,-7.3,301482,17.44,237926,279444,17.44,237926,279444,110/01,TSE
1324,地球,-,-20.15,102720,7.14,76543,82015,7.14,76543,82015,110/01,TSE
1325,恆大,受新冠肺炎影響致營收增加,-25.94,295463,270.92,58992,218816,270.92,58992,218816,110/01,TSE
1326,台化,-,1.9,26248571,18.1,22647976,26749217,18.1,22647976,26749217,110/01,TSE
4306,炎洲,-,-8.83,1413578,28.93,999485,1288713,28.93,999485,1288713,110/01,TSE
1402,遠東新,-,-6.72,20535299,9.66,17466170,19154653,9.66,17466170,19154653,110/01,TSE
1409,新纖,-,-24.52,4167286,22.83,2560642,3145297,22.83,2560642,3145297,110/01,TSE
1410,南染,-,-14.41,42139,48.69,24254,36064,48.69,24254,36064,110/01,TSE
1413,宏洲,-,23.98,163371,25.76,161063,202561,25.76,161063,202561,110/01,TSE
1414,東和,-,-20.86,87371,24.08,55721,69139,24.08,55721,69139,110/01,TSE
1417,嘉裕,-,40.87,90121,-2.08,129664,126957,-2.08,129664,126957,110/01,TSE
1418,東華,-,-45.58,11891,-32.79,9629,6471,-32.79,9629,6471,110/01,TSE
1419,新紡,-,-17.34,232948,18.02,163148,192552,18.02,163148,192552,110/01,TSE
1423,利華,-,44.06,12124,44.72,12069,17467,44.72,12069,17467,110/01,TSE
1434,福懋,-,2.53,2527585,-1.92,2642716,2591722,-1.92,2642716,2591722,110/01,TSE
1439,中和,-,-59.29,15085,-43.01,10775,6140,-43.01,10775,6140,110/01,TSE
